Program,T,N,Time
thrdpool,17,15,9.632112791
cilk,17,15,109.003305079
seq,17,16,965.961595247
posix,17,16,77.924061215
thrdpool,17,16,65.248784057
cilk,17,16,728.245169037
seq,18,14,21.870865522
posix,18,14,1.907799751
thrdpool,18,14,1.457817742
cilk,18,14,16.640671117
seq,18,15,142.241627672
posix,18,15,11.539399121
thrdpool,18,15,9.248031855
cilk,18,15,103.853633283
seq,18,16,970.508231818
posix,18,16,75.719652700
thrdpool,18,16,62.848686391
cilk,18,16,685.963690368
seq,19,14,21.897346226
posix,19,14,1.823095098
thrdpool,19,14,1.402855545
cilk,19,14,15.616347300
seq,19,15,140.955110632
posix,19,15,10.988011146
thrdpool,19,15,8.913458907
cilk,19,15,96.973811475
seq,19,16,963.035662904
posix,19,16,77.316474932
thrdpool,19,16,60.217238560
cilk,19,16,647.237241424
seq,20,14,21.876829805
posix,20,14,1.696867999
thrdpool,20,14,1.373313383
cilk,20,14,15.264270836
seq,20,15,140.879746459
posix,20,15,11.103890546
thrdpool,20,15,8.608142244
cilk,20,15,97.888855866
seq,20,16,964.067258073
posix,20,16,75.321846029
thrdpool,20,16,59.122800867
cilk,20,16,645.430568307
seq,21,14,21.920471965
posix,21,14,1.711791715
thrdpool,21,14,1.302713165
cilk,21,14,14.930094796
seq,21,15,141.019405383
posix,21,15,11.143950974
thrdpool,21,15,8.251214097
cilk,21,15,94.477673333
seq,21,16,962.932998967
posix,21,16,68.841762369
thrdpool,21,16,56.318008108
cilk,21,16,624.708872310
seq,22,14,21.983437104
posix,22,14,1.700301559
thrdpool,22,14,1.276334511
cilk,22,14,14.779835466
seq,22,15,141.730013032
posix,22,15,10.303470978
thrdpool,22,15,8.025371110
cilk,22,15,92.798552367
seq,22,16,967.927692972
posix,22,16,69.537816502
thrdpool,22,16,54.646221017
cilk,22,16,623.359409285
seq,23,14,21.900622657
posix,23,14,1.643774781
thrdpool,23,14,1.246161104
cilk,23,14,14.422241271
seq,23,15,141.005378625
posix,23,15,10.130488812
thrdpool,23,15,7.818195871
cilk,23,15,91.494697459
seq,23,16,965.491666066
posix,23,16,66.149926241
thrdpool,23,16,53.001061790
cilk,23,16,600.686368533
seq,24,14,21.890640539
posix,24,14,1.590829837
thrdpool,24,14,1.218843389
cilk,24,14,13.836790505
seq,24,15,141.293560300
posix,24,15,9.537742734
thrdpool,24,15,7.598904938
cilk,24,15,89.810948047
seq,24,16,963.684309414
posix,24,16,65.625869558
thrdpool,24,16,51.176892754
cilk,24,16,589.911037178
seq,25,14,21.904818045
posix,25,14,1.570211397
thrdpool,25,14,1.146113021
cilk,25,14,13.277300842
seq,25,15,141.508077283
posix,25,15,9.417049912
thrdpool,25,15,7.295278186
cilk,25,15,83.387590048
seq,25,16,965.379989915
posix,25,16,62.255209530
thrdpool,25,16,49.331678748
cilk,25,16,581.369878462
seq,26,14,21.975326189
posix,26,14,1.557538572
thrdpool,26,14,1.121756140
cilk,26,14,13.199589793
seq,26,15,141.167728419
posix,26,15,9.325279436
thrdpool,26,15,7.107080869
cilk,26,15,81.707713353
seq,26,16,967.791983717
posix,26,16,60.644269678
thrdpool,26,16,48.421785811
cilk,26,16,541.117811646
seq,27,14,21.858927156
posix,27,14,1.482227133
thrdpool,27,14,1.102501253
cilk,27,14,12.155847845
seq,27,15,141.810826028
posix,27,15,8.819621652
thrdpool,27,15,7.064945799
cilk,27,15,78.383188709
seq,27,16,965.314543206
posix,27,16,59.858736869
thrdpool,27,16,47.536777249
cilk,27,16,525.886161029
seq,28,14,21.911101598
posix,28,14,1.407044487
thrdpool,28,14,1.094464469
cilk,28,14,12.232164122
seq,28,15,141.219964107
posix,28,15,7.572765205
thrdpool,28,15,6.882646544
cilk,28,15,76.653233703
seq,28,16,966.987263695
posix,28,16,55.647238262
thrdpool,28,16,46.611081183
cilk,28,16,516.511216483
seq,29,14,21.959543126
posix,29,14,1.492516939
thrdpool,29,14,1.080262463
cilk,29,14,12.386578760
seq,29,15,141.491500025
posix,29,15,7.684334945
thrdpool,29,15,6.741855948
cilk,29,15,75.235282476
seq,29,16,965.276631067
posix,29,16,55.750471538
thrdpool,29,16,45.573710684
cilk,29,16,507.637519072
seq,30,14,21.867510209
posix,30,14,1.462700529
thrdpool,30,14,1.058629846
cilk,30,14,12.079677125
seq,30,15,141.573159815
posix,30,15,7.535786299
thrdpool,30,15,6.430502104
cilk,30,15,76.080943987
seq,30,16,966.905222628
posix,30,16,55.203486267
thrdpool,30,16,43.687025154
cilk,30,16,502.804260692
seq,31,14,21.929823462
posix,31,14,1.500135817
thrdpool,31,14,1.058320391
cilk,31,14,11.562689787
seq,31,15,141.145100798
posix,31,15,7.652622571
thrdpool,31,15,6.260651635
cilk,31,15,74.093480226
seq,31,16,967.855924063
posix,31,16,53.848763726
thrdpool,31,16,42.724535136
cilk,31,16,503.057179018
seq,32,14,22.013257659
posix,32,14,1.305260128
thrdpool,32,14,0.957840248
cilk,32,14,11.461134001
seq,32,15,141.019250876
posix,32,15,7.652116872
thrdpool,32,15,6.153816835
cilk,32,15,69.965478138
seq,32,16,963.011466266
posix,32,16,50.551876821
thrdpool,32,16,41.936697593
cilk,32,16,485.893644154
